# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C delay__IN3__lh__OUT__hl__ACQ_1 of AOI21 T0 W1
C delay__IN3__hl__OUT__lh__ACQ_1 of AOI21 T1 W1
C leakage_power__ACQ_1 of AOI21 T2 W1
C Cin__VSS__lh__ACQ_1 of AOI21 T3 W1
C Cin__VSS__hl__ACQ_1 of AOI21 T4 W1
C delay__IN1__lh__OUT__hl__ACQ_1 of AOI21 T5 W1
C delay__IN1__hl__OUT__lh__ACQ_1 of AOI21 T6 W1
C delay__IN2__lh__OUT__hl__ACQ_1 of AOI21 T7 W1
C delay__IN2__hl__OUT__lh__ACQ_1 of AOI21 T8 W1
C Cin__VDD__lh__ACQ_1 of AOI21 T9 W1
C Cin__VDD__hl__ACQ_1 of AOI21 T10 W1
